house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment ,"1,162 sq ft",Gagan Vihar,Delhi,28.70855713,77.32802582,10000,INR,2,null,null,null,Posted a month ago,"24 Hour's Ground Water Supply Available
Stainless Steel Railing Will Be Provided
Dedicated Food Court
Party Lawns
Chemist Shop
Ambulance Facility
Doctor On Call Service
Art Of Living Classes
In House Primary School And Play School
Art Of Living Classes
Grocery And Daily Use Item Shop
Transport Facilities For Your Commuting Requirements
Laundry Service For Your Daily Comfort
24 Hr Security System For Your Safety
Music
Dance & Painting Classes
Card Room
Ball Room More About This Property Here is an excellent 2 BHK Apartment available for rent in Ghaziabad. Surrounded by natural greens and equipped with numerous amenities, this rented 2 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Gagan Vihar that enjoys good connectivity to major landmarks of the city. The Apartment is on the 5 floor. There is a total of 9 floors. The Apartment is designed as per modern construction standards. It has 2 bedrooms and 2 bathroom. It is South-East facing. The 2 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample sunlight and fresh air. There are 3 balcony in this unit where residents can spend a relaxed evening and enjoy excellent views of the surroundings. This Apartment has 1162 Square feet of built-up area. It has a carpet area of 1162 Square feet. The monthly rent payable is Rs 10000, and the security deposit to be paid is Rs 10000. Project Highlights Several lifestyle amenities have been provided for the residents of this Apartment to ensure a sophisticated living. The locality Gagan Vihar provides comfortable social infrastructure",No Deposit,Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Dabri,Delhi,28.60726929,77.08944702,20000,INR,2,null,null,null,Posted a month ago,"Your search for a spacious home at affordable rent in Delhi ends here. The 3 BHK property offers a serene environment with excellent views of the city. This Independent Floor is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is semi furnished Independent Floor. This unit is built on floor 3 out of a total 4 floors. The Independent Floor has been thoughtfully designed to meet a family?s space needs, with 3 bedrooms. It includes 2 bathroom. There are 1 balcony that lets you enjoy scenic views. The built-up area of this Independent Floor is 900 square_feet. Residents need to pay a monthly rent of Rs 20000. The security deposit payable is Rs 20000. Project Highlights Families have access to various amenities such as Gym, Garden, Sports facility, Swimming pool, Intercom, Clubhouse, Community hall. There is a provision for lift facility. A cctv facility has been installed in this property which provides a secure lifestyle for the occupants. The Independent Floor is in proximity to major landmarks in Delhi. Families of this Independent Floor have easy access to healthcare centres when they need medical assistance, especially in emergencies",No Deposit,Semi-Furnished
2 BHK Independent Floor ,750 sq ft,Govindpuri Extension,Delhi,28.53482056,77.25739288,15000,INR,2,null,null,null,Posted a month ago,"This Independent Floor can be a comfortable and affordable home for your family. It is a 2 BHK unit available on rent at Chittaranjan Park in Delhi. This Independent Floor comes with a plethora of amenities to meet your modern lifestyle needs. It is semi furnished. It is located on floor 2 of the building having a total 3 floors. Offering beautiful city views, this 2 BHK has been thoughtfully developed. It includes a total of 2 bedrooms and 2 bathroom. It also includes 1 balcony that can be a perfect place for relaxation. The built-up area of the Independent Floor is 750 square feet. The carpet area is 700 square feet. The Independent Floor is available for a monthly rent of Rs 15000. The security deposit payable is Rs 15000. Project Highlights The locality Chittaranjan Park where this Independent Floor is situated, has well-equipped social infrastructure",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,100 sq ft",Paschim Vihar,Delhi,28.65725327,77.09198761,24000,INR,1,null,null,null,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in DDA Meera Apartment, Paschim Vihar, Delhi. It has a built-up area of 1100 sqft and is available for rent at Rs. 24,000 per month . It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,"1,150 sq ft",Vijay Nagar,Delhi,28.68910408,77.20041656,35000,INR,2,null,null,null,Posted 17 days ago,"2BHK FULLY FURNISHED FLAT FLOOR ON RENT IN NORTH CAMPUS
DELHI UNIVERSITY
Old Gupta Colony 
ALL AMENITIES
FRIEDGE
AC
MODULAR KITCHEN
BED
GEYSER
OTHER EQUIPMENT 
 More About This Property Your search for a spacious home at affordable rent in Delhi ends here. This 2 BHK Independent Floor in Kalyan Vihar is all that you have been looking for! Designed as North-East facing, the unit is compliant with vaastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Independent Floor is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is Fully Furnished Independent Floor. This unit is built on floor 3 out of a total 4 floors. The Independent Floor has been thoughtfully designed to meet a family?s space needs, with 2 bedrooms. It includes 2 bathroom. There are 1 balcony that lets you enjoy scenic views. The built-up area of this Independent Floor is 1150 Square feet. The carpet area is 1150 Square feet. Residents need to pay a monthly rent of Rs 35000. The security deposit payable is Rs 35000. Project Highlights The property also has power backup facility. A cctv facility has been installed in this property which provides a secure lifestyle for the occupants. The Independent Floor is in proximity to major landmarks in Delhi. Families of this Independent Floor have easy access to healthcare centres when they need medical assistance, especially in emergencies",No Deposit,Furnished
3 BHK Apartment ,"2,000 sq ft",Vasant Kunj,Delhi,28.54009819,77.14507294,59000,INR,3,null,null,null,Posted 13 days ago,"Itâs a 3 bhk multistorey apartment situated in Vasant Kunj, Delhi. It has area of 2000 sqft and is available at a rent of Rs. 59,000. It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,"1,350 sq ft",Safdarjung Enclave,Delhi,28.56477928,77.19426727,35000,INR,1,null,null,null,Posted a day ago,"Itâs a 1 bhk builder floor situated in Safdarjung Enclave, Delhi. It has area of 1350 sqft and is available at a rent of Rs. 35,000. The house is semi-furnished. Its main door is facing west direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Semi-Furnished
2 BHK Apartment ,"1,000 sq ft",Vasant Kunj,Delhi,28.52409363,77.14785004,45000,INR,2,null,null,null,Posted 9 days ago,"A 2 bhk property is available for rental in DDA Ganga Apartment Sector D Pocket 6, Vasant Kunj, Delhi. It has an area of 1000 sqft with a carpet area of 900 sqft . The property is available at a monthly rental of Rs. 45,000 . The house is furnished. It is a 8 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,100 sq ft",Janakpuri,Delhi,28.62412453,77.08145905,32500,INR,2,null,null,null,Posted a day ago,"A spacious 3 bhk builder floor is available for rental in DDA Flat Janakpuri, Janakpuri, Delhi. The house is semi-furnished. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Independent Floor ,"2,200 sq ft",Hauz Khas,Delhi,28.54715157,77.20805359,220000,INR,4,null,null,null,Posted 15 days ago,It has an area of 2200 sqft with a carpet area of 2000 sqft . The property is available at a monthly rental of Rs. 2.20 lac . It is a semi-furnished property. Its main door is facing northeast direction. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Bali Nagar,Delhi,28.65497208,77.13210297,43000,INR,3,null,null,null,Posted a year ago,"A spacious 3 bhk builder floor is available for rental in Bali Nagar, Delhi. The house is semi-furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,900 sq ft,Rajouri Garden,Delhi,28.64152908,77.12091064,30000,INR,2,null,null,null,Posted a year ago,"Itâs a 2 bhk builder floor situated in Rajouri Garden, Delhi. It has an area of 900 sqft . The property is available at a monthly rental of Rs. 30,000 . It is a furnished property. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,350 sq ft",Shalimar Bagh,Delhi,28.70121956,77.15703583,68000,INR,2,null,null,null,Posted 9 days ago,"Well designed 3 bhk builder floor is available at a prime location in Shalimar Bagh. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,850 sq ft",Rajouri Garden,Delhi,28.64152908,77.12091064,55000,INR,3,null,null,null,Posted a month ago,"A spacious 3 bhk builder floor is available for rental in Rajouri Garden, Delhi. The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. ",No Deposit,Furnished
1 BHK Independent Floor ,"1,500 sq ft",Green Park,Delhi,28.55844879,77.20293427,40000,INR,1,null,null,null,Posted a year ago,"Itâs a 1 bhk builder floor situated in Green Park. It has a built-up area of 1500 sqft and is available for rent at Rs. 40,000 per month . The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,300 sq ft",Vasant Kunj,Delhi,28.52632713,77.15073395,40000,INR,2,null,null,null,Posted a month ago,"Itâs a 3 bhk builder floor situated in Vasant Kunj, Delhi. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,440 sq ft",Dr Mukherji Nagar,Delhi,28.70457268,77.20771027,60000,INR,3,null,null,null,Posted a month ago,"A spacious 3 bhk builder floor is available for rental in Dr Mukherji Nagar, Delhi. It has area of 1440 sqft and is available at a rent of Rs. 60,000. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
1 BHK Independent Floor ,600 sq ft,Subhash Nagar,Delhi,28.63766098,77.11206818,20000,INR,1,null,null,null,Posted a year ago,"It has a built-up area of 600 sqft and is available for rent at Rs. 20,000 per month . It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,750 sq ft,DLF Phase 5,Delhi,28.45732117,77.10906219,33500,INR,1,null,null,null,Posted 19 days ago,"1 BHK Fully Furnished available in sector 42 gurgaon haryana.
ready to move in.
Big size. More About This Property If you are looking for a modern house on rent in Gurgaon, this Independent Floor in Sector 42 can be your perfect home. It is a 1 BHK Independent Floor designed to meet your space and lifestyle needs. The 1 BHK unit is Fully Furnished. This rented 1 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 3 out of a total 4 floors . The Independent Floor has 1 bedroom and 1 bathroom. It also has 1 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Independent Floor. It is a North-East facing Independent Floor designed as per vaastu principles. The carpet area of this unit is 700 Square feet. The built-up area is 750 Square feet. The monthly rent payable for this Independent Floor is Rs 33500. The security deposit is Rs 33500. Project Highlights The project also offers 1 BHK units. Residents can access numerous facilities, including Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This Independent Floor provides power backup facility for the residents. It is equipped with the latest security features like cctv facility, ensuring a secure environment for families. There is a state-of-the-art lift facility",No Deposit,Furnished
1 RK Studio Apartment ,300 sq ft,Patel Nagar,Delhi,28.65369034,77.16915894,15500,INR,1,null,null,null,Posted a day ago,"Itâs a 1 rk builder floor situated in Patel Nagar. It has a built-up area of 300 sqft and is available for rent at Rs. 15,500 per month . The house is furnished. Its main door is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment ,"1,600 sq ft",Jasola,Delhi,28.54262161,77.29563904,43000,INR,2,null,null,null,Posted a month ago,"A spacious 3 bhk multistorey apartment is available for rental in Swaraj Homes RWA Jasola Sector 8 SFS Flat, Jasola, Delhi. It has area of 1600 sqft and is available at a rent of Rs. 43,000. It is a semi-furnished property. Its main door is facing northeast direction. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,"2,400 sq ft",Dwarka Mor,Delhi,28.62621689,77.03955078,11000,INR,1,null,null,null,Posted 16 days ago,Itâs a 2 bhk builder floor situated in Dwarka Mor. The house is semi-furnished. Its main door is facing north direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Kaushambi,Delhi,28.64315033,77.32295227,34000,INR,3,null,null,null,Posted 6 days ago,"This is a modern and stylish home available for affordable rent in Ghaziabad. It is a 3 BHK Independent Floor situated at Kaushambi. Designed to meet your lifestyle needs, the Independent Floor provides a range of modern amenities for the comfort of the residents. It is semi furnished. Modern home seekers will experience a comfortable living in this 3 BHK property. The Independent Floor is on 1 floor, and the total number of floors is 3. The 3 BHK unit is elegantly designed to meet your housing needs. The Independent Floor has 3 bedrooms. It has 3 bathroom. The 3 BHK unit also includes 2 balcony giving splendid views of the surroundings. The built-up area of the Independent Floor is 2000 square_feet. The carpet area is 1850 square_feet. The monthly rent for the Independent Floor is Rs 35000. The security deposit is Rs 35000. Project Highlights The developer also offers 3 BHK units as a part of this project. The locality Kaushambi enjoys good connectivity and convenience in terms of a well-developed social infrastructure",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,025 sq ft",Surajmal Vihar,Delhi,28.65982056,77.30496979,58000,INR,3,null,null,null,Posted 2 months ago,"Itâs a 3 bhk builder floor situated in Surajmal Vihar, Delhi. It has an area of 2025 sqft . The property is available at a monthly rental of Rs. 58,000 . The house is semi-furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,500 sq ft",Sector 4 Dwarka,Delhi,28.60392189,77.05311584,38000,INR,2,null,null,null,Posted 9 months ago,"Are you looking for an affordable Apartment for rent in Delhi?. Here is a spacious 3 BHK Apartment in Sector 4, Dwarka, promising a comfortable lifestyle. The Apartment is Fully Furnished. Built on floor 0 out of a total 5 floors, it is an ideal home providing beautiful views of the city?s skyline. This property is designed to suit your space needs and has 3 bedrooms and 2 bathroom. It also includes 2 balcony. This rented Apartment is North facing and compliant with vaastu Shastra principles. Nestled inside a gated society, this 3 BHK Apartment is a perfect accommodation for families seeking a contemporary lifestyle. The built-up area of the residential property is 1500 Square feet. The carpet area of this modern rented Apartment is 1400 Square feet. There is also a provision of lift facility that gives convenience to the families, especially senior citizens. The property is equipped with power backup facility. Project Highlights The developer is known for delivering quality projects in Delhi. There are attractive amenities available for the residents of this Apartment that fulfil all the needs of a modern-day lifestyle. There are various new-age facilities such as Gym, Garden, Sports Facility, Intercom, Clubhouse, Community Hall. Latest safety features like cctv facility have been included in this property to ensure a secure environment for the residents",No Deposit,Furnished
3 BHK Apartment ,"2,200 sq ft",Sector 6 Dwarka,Delhi,28.59152603,77.06760406,60000,INR,3,null,null,null,Posted 2 months ago,"A spacious 3 bhk multistorey apartment is available for rental in True Friends Apartments, Sector 6 Dwarka, Delhi. It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
1 BHK Apartment ,600 sq ft,Vasant Kunj,Delhi,28.52589035,77.15148926,25000,INR,1,null,null,null,Posted 23 days ago,"Itâs a 1 bhk multistorey apartment situated in Kaveri Apartments, Vasant Kunj, Delhi. It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is facing south direction. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
1 BHK Apartment ,700 sq ft,Sector 14 Dwarka,Delhi,21.2108593,72.77133179,18000,INR,1,null,null,null,Posted 22 days ago,"A spacious 1 bhk multistorey apartment is available for rental in Sai Kutir, Sector 14 Dwarka, Delhi. It has area of 700 sqft and is available at a rent of Rs. 18,000. The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 gas connection, 1 ac and 1 bed. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Independent Floor ,900 sq ft,Sarvodaya Enclave,Delhi,28.53616524,77.19776154,65000,INR,2,null,null,null,Posted 19 days ago,"Itâs a 2 bhk builder floor situated in Sarvodaya Enclave. It has area of 900 sqft and is available at a rent of Rs. 65,000. It is a furnished property. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,350 sq ft",Paschim Vihar,Delhi,28.67094231,77.10485077,44000,INR,3,null,null,null,Posted a month ago,"Itâs a 3 bhk builder floor situated in Paschim Vihar. It has area of 1350 sqft and is available at a rent of Rs. 44,000. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,050 sq ft",Uttam Nagar,Delhi,28.62147713,77.05033112,28500,INR,2,null,null,null,Posted a month ago,"Well designed 3 bhk builder floor is available at a prime location in Uttam Nagar. It has area of 1050 sqft and is available at a rent of Rs. 28,500. It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 ac and 1 bed. It is a ready-to-move-in property. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
1 BHK Apartment ,450 sq ft,Chattarpur,Delhi,28.49751854,77.17887115,18000,INR,1,null,null,null,Posted a month ago,"Are you looking for an affordable Apartment for rent in Delhi?. The Apartment is semi furnished. Built on floor 2 out of a total 4 floors, it is an ideal home providing beautiful views of the city?s skyline. This property is designed to suit your space needs and has 1 bedroom and 1 bathroom. It also includes 1 balcony. Nestled inside a gated society, this 1 BHK Apartment is a perfect accommodation for families seeking a contemporary lifestyle. There is also a provision of lift facility that gives convenience to the families, especially senior citizens. The Apartment is available for a monthly rent of Rs 18000. The security deposit payable is Rs 18000. Project Highlights The developer is known for delivering quality projects in Delhi. There are attractive amenities available for the residents of this Apartment that fulfil all the needs of a modern-day lifestyle. Latest safety features like cctv facility have been included in this property to ensure a secure environment for the residents",No Deposit,Semi-Furnished
8 BHK Independent Floor ,"7,200 sq ft",DLF Farms,Delhi,28.48815346,77.15697479,1400000,INR,8,null,null,null,Posted 3 years ago,"Itâs a 8 bhk builder floor situated in DLF Farms, Delhi. It has an area of 7200 sqft . The property is available at a monthly rental of Rs. 14.00 lac . It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,680 sq ft,Patel Nagar,Delhi,28.65369034,77.16915894,17140,INR,1,null,null,null,Posted 3 years ago,"Itâs a 1 bhk builder floor situated in Patel Nagar. It has area of 680 sqft and is available at a rent of Rs. 17,140. The house is furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
2 BHK Independent Floor ,650 sq ft,Uttam Nagar,Delhi,28.61945724,77.05670929,12000,INR,1,null,null,null,Posted 2 months ago,"If you are looking for a modern house on rent in Delhi, this Independent Floor in Uttam Nagar can be your perfect home. It is a 2 BHK Independent Floor designed to meet your space and lifestyle needs. The 2 BHK unit is Semi Furnished. This rented 2 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 2 out of a total 4 floors . The Independent Floor has 2 bedrooms and 1 bathroom. It also has 1 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Independent Floor. The built-up area is 650 Square feet. The monthly rent payable for this Independent Floor is Rs 12000. The security deposit is Rs 12000. Project Highlights The project also offers 2 BHK units",No Deposit,Semi-Furnished
1 BHK Independent Floor ,600 sq ft,Ramesh Nagar,Delhi,28.64922142,77.13320923,17000,INR,1,null,null,null,Posted 2 years ago,Well designed 1 bhk builder floor is available at a prime location in Ramesh Nagar. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,No Deposit,Furnished
